Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_MAPE,Test_MAPE,CV_R2_Mean,CV_R2_Std
Lasso Regression,0.9976142759370408,0.9997346702275907,194.34233850454225,59.3944507757736,62.25108445877643,45.289994775210964,1.3266997966227272,0.6906702860959523,0.9971570210826289,0.004938012916499034
Linear Regression,0.9976674026215514,0.9997346225356796,192.16629208671986,59.39978848733635,62.59159202576043,46.50936033371644,1.2451893335835453,0.690756555050579,0.9970623520755503,0.005090815921769437
Ridge Regression,0.997499183297181,0.9994115051003957,198.97487906881966,88.4553754291633,80.12095648731788,66.01415654757884,1.8242059645119526,0.9901665994369729,0.9969250380387464,0.0046458281637529915
LightGBM,0.9995845491896324,0.9957921075676601,81.0993034209506,236.52943431494668,58.72024231430416,155.30058203327107,1.3420415865394564,1.8896438969173373,0.9944785253029476,0.0005488547977917012
XGBoost,0.9999913823101815,0.9942634842281111,11.680266392717197,276.1703017557234,8.443686071670417,195.03011275782728,0.11083563403518618,2.3229213769193313,0.990725081874476,0.0005757503148001274
Gradient Boosting,0.9969628852489234,0.9929003824577233,219.27439394838646,307.2347642075075,164.22948140952792,225.00074422891703,3.0729325140664003,2.7905395752400945,0.992299127013076,0.0010779333641393932
Random Forest,0.9986249937302558,0.9912854005291485,147.53995885100258,340.3898442884797,79.1806989820076,184.28335937500003,1.132097259112111,2.1775424682005036,0.9893951659064619,0.0011294475776430554
Decision Tree,0.9995405967792083,0.9775757786763962,85.28140301541583,546.0237886935337,53.803949639382154,296.96877990666275,0.5120225672943131,3.7604008109957876,0.9729933182100753,0.006052333467876288
ElasticNet,0.8920997548070689,0.8876553367400065,1306.9787742381366,1222.1629162427444,1036.0691595533722,966.9427844857698,25.18341912740184,15.500776626808188,0.8879889283298459,0.009069765727260043
SVR,0.006706640316337387,0.0065018376140485445,3965.482931007121,3634.430869578732,3167.0779600541828,2917.8642641137353,88.29275252406666,46.56553522337477,-0.0014533021360396692,0.007442373795593149
